Hotel_Name,Hotel_Rating,City,Hotel_Price,Place_ID,Photo_Reference
Hyatt Centric Janakpuri New Delhi,3.8,delhi,7484,ChIJqQ3x2j0FDTkRHNMbO1tpnwo,AdDdOWrnxh_FYXYx_kKb6JStUsGH6FFt-_03M5z4ezSKvq5XRmpBe0d29Jg2LanKAufCBWB-SdZETp_XplWVAPKcHgV4mLmN5T1Xsp-l2K9mMMb0GJaH7IitxsF7SD7ZkPc4cR3ABOMU99DkxtWtUwD9Ufc_oGEruiCuq2kbhbZ4xOaN_Bgc
"Taj Palace, New Delhi",4.7,delhi,15050,ChIJpzBQWhUdDTkR65ZU6jWHpO8,AdDdOWo_CCcgLjSEWu_l-4dGZmV3gPilNceH1d_jUGmmoV8DRCG7nMSdk8qZIOyMrFA_FoBF8kJ7JNC5NA2rJrCnIKZGlVm1ZYIQeCOjc05TzumIXuLaFB8-BFcoS27S2pHscq2u_n5AHQbDrOsBA48Hw6nMaN6utStz34Bbg76dOJaCIY7A
The Pamposh,3.7,delhi,3931,ChIJgYEW9tHjDDkRY7NOQXZZSTU,AdDdOWrhEXd1Frt3MOr6nn79Z2XqRvnb1fxdFJrBMKdp3FA75OsSXtsiVYNi6SWgGQuEtQ_BZEK_L-HRjkr6m-Bzx8tIUaESIPIKlppQpeG9XvWYRjQ5K-HuNK2oKaYjAktk8vFy1Fy9mbg9x2MsLdH3aAT5u7A1kwSEl_onhcqoIxms5iyu
Caves by Craftels,4.7,delhi,5040,ChIJayNwfoMfDTkR1UJh1_EnjVM,AdDdOWpo5TOooulKPYUsvKBAimmX3BzkUHF6cIA-0Eus9oS8XD7BZ3U7D-WN8ziQwjtR8rpAehsuysMUxUPEHhiO4Kx3Or1ZsQqD_Yl1mgkbTI4PTqB7JypQ5KrGGUfwiGmaHjt_i3on7geUpYaUf2149XmjROkBC72IjJLRhDBZdj_V8_UU
Bloomrooms @ Janpath,4.4,delhi,6451,ChIJhWpylE3jDDkRM4CKESOZQ7E,AdDdOWrJTde7cAvHeOZDf9hOWFk77iGTjuwhoAU_wvVvUXIxDqaWt120PBH6NX1F_AhV8dc7O72qEP5z-afs_5xxZHXTob2EhNz5_ocEiOmB9WC7_T0naaCipuuYJY0yJHnQfoOjcRpCjLgzuC4QS3TGMO-JTQ_I3y5i662_l2lkTeoCCwTx
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,6305,ChIJz6cFNNcDDTkR2sR2snMfXUM,AdDdOWoN-ge6yatV98TptdFn12bAUs-FBPI8qIUSPI2sbIAe_qbG36a6BhXywviWxzv4tJxWZ3YUCedZSH5BUbcFNUveynriicmtMcCUspJ6Vv4_h1XgHlmEPaACdYJTn0e5v9InnnYdsIkwjl_1XPpFKeRi4QCbMygzkcigBp265jOpGtk5
Bloom Boutique | GK-1,4.2,delhi,4659,ChIJN0D-I-rjDDkRVWmkPjv22I4,AdDdOWrdYteZ0Ieo_VbAl6os2Gscx9SXm4iXlsmSS-aM8qVRR8ByR6I2w93lkjcZ-upDYtbyoph0_kVBloWMGnS34GCwA_nz5w1A2Kc9WHMyndiTH3Nge-PnlmmQP2jC7xEwkvi0o7oE5WcN63fepPHhNMY1idvTXfazegUDogfFJIHpSU0Q
The Grand Parisian,4.2,delhi,4673,ChIJe1bK-MgaDTkRQq9FTKRnEPU,AdDdOWqyIll2OEwzjVBE1Ciw1zIbmn-KmOXa-9uGLM-l9slS8deFD6o2yf2c7GTnnbkUWDPlkMSAo3uVGKTG-d9lCT4t73t4cPvjzgXmDO2cGVybPQmkX3aGk5siqFhJaaYx84uHowjyl6Iz5VO_8f2TYnvzoJfa-RyCjce1DentY2uWcErT
amigosindia,4.5,delhi,706,ChIJ6UcYhSEeDTkR6E7j3U9cv-0,AdDdOWoAIo5nWbUxiyKAqawxJH_e6Juc4xDM1NmsSvdJaSFPVtuDw1DIXJD8GUwRX5a3BaV7cGJx9MmcFh79eACWsRWEgdrSui2lg-eBRpdKM-PtQpGMTPkewxbpZUmzVhNko6kCTmVUCXoC_ytIh_KbfjqjDqd0QJxiOMwtdTYgLLSUBnur
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,14081,ChIJRZaLkZkbDTkRkJRD2nrcKFs,AdDdOWpEac8dIGox6OR6BQAZsMuL-JBZ2YDx4qnzl5skp2dRympUZsj1LR3vQxCTCi81yDurB2QXOUjly8-AK9SKwCzhuXfpbIwnYsYLqg-8BFz0HenD2XXzfJoOpEcqWT23EPScF-0DDHGPah7OKKNGS9zPuZhop4J1JhaSQYcOVXA90y8d
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,10195,ChIJF6F7gOEaDTkRsbOosIh1sUk,AdDdOWrZ01ehznrDAjpW91ccXk6J7ZtUgvni-UTZHn4tueBYRbK7BN71A3ea688byLTYkuu5gDdhlQn-8kAebU9msH1dUMzGkjlcBE1OGAi6stCdqImL3N-UV6FDUkHzG-ypErpHID-fmVkaZzmrumH7guCqC1Ul_PqXwv4aEPw_Kmvwj0Mi
ibis Mumbai Vikhroli,4.5,mumbai,7392,ChIJCaERGp3J5zsR-SCGXrAa0ok,AdDdOWpnwqQRKBQx6jZ38AWKJ-6lKGcRUxG_dN0r5SR7e_YPw8oENr87fBUtCGomZtNBGhfk7k5boq0CfGLX5fbufGURaAYvuG3KkMhjJw3FNUoQ48zOCIGKo22mPWd9O5r8FX1rXb8xyCLBBCHL0gHYXr7epHbZdwabe9Ib4UyBxyogYOsL
The Lalit Mumbai,4.4,mumbai,14278,ChIJWYnyhWrI5zsRh1tnwbNIHis,AdDdOWq0vzvpIzC4GrpvJQk8Itk4p7D-wcdqnBxfk6RtyzqHNS75qC1RfQlCgznxeHGdh2jFgYUtr4Mr9nqFp5I9HvWXLuJc2skpZ7eMjQUZk9tZOL9RIx5jK-Jo9y6_sYAmwVkCSE9nnLlzqMgEiuZ4udiHl3hmx5U3vs-U_i70jCh3VOdJ
JW Marriott Mumbai Juhu,4.6,mumbai,5725,ChIJLeZxYr_J5zsRKhLe6YkYhhI,AdDdOWqYCCihZIiYSqLQw4nwPEQ_Z7aq6VPsPKfd64PJUwXVtDuZbkXvm885OMJRCIdBj3ytKHXAamO13bVXTSvdZhRsDi2A91IjislkyaQsrkmH296X8BAE1gaqO6iovMXBQNpJKEOrqUGA6CE3KWZz0rEDFh1_JTfZiOFEViDGeIxw2AgV
Empire Royale Hotel,4.4,mumbai,1582,ChIJW2_HZWjP5zsREV4EpQ1rkGc,AdDdOWoa2e-wWBw_2wuxR2UIV-ogPxZMa44nrK5SU9Us-8AOxx8opQHkbJ7-Yx-wL5E6S91V6VrUdb2PfIW6xAXJsVGw0EDH0mMwmu6yTYzl4xp5sHgZEwi70s68nTXt55dZa_umV1d9TchMLhtS7ZSzsXhLwhKJxbbLjsg1r2BeiKOtKxFE
