Name,Location,Locality,City,Rating,Cost
Elementaria Bakery Cafe,"Powai, Powai", Powai,Mumbai,5.0,800
Taco Bell,"R City Mall,Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,4.0,500
House of Mandarin,"Delphi Building,Powai, Powai", Powai,Mumbai,4.7,2000
Chaayos - Meri Wali Chai,"City Park Building,Powai, Powai", Powai,Mumbai,4.0,500
Frozen Bottle,"Hiranandani, Powai", Powai,Mumbai,4.7,500
The Sassy Spoon,"Delphi Building,Powai, Powai", Powai,Mumbai,4.3,1800
Lord of the Drinks,"Hiranandani, Powai", Powai,Mumbai,4.2,1500
Vikhroli Social,"Imagine Studio,Vikhroli East, Central Suburbs", Central Suburbs,Mumbai,4.4,2000
Bayroute,"Transocean House,Powai, Powai", Powai,Mumbai,4.5,3000
Asian Wok,"Galleria Shopping Centre,Powai, Powai", Powai,Mumbai,3.8,800
Shaolin,"Galleria Shopping Centre,Powai, Powai", Powai,Mumbai,3.7,800
Tibbs Frankie,"Powai, Powai", Powai,Mumbai,3.8,500
Spirit,"Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,3.9,2000
Mini Punjab's Lake Side,"Powai, Powai", Powai,Mumbai,4.0,1700
Mia Cucina,"Transocean House,Powai, Powai", Powai,Mumbai,4.2,2200
Flax,"Powai Plaza,Powai, Powai", Powai,Mumbai,4.0,900
HAS Juices and More,"R City Mall,Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,2.7,400
Kosho,"Powai, Powai", Powai,Mumbai,4.2,1200
Fisherman's Cove - Taste on Palate,"Powai, Powai", Powai,Mumbai,4.4,800
Flava,"The Roa Hotel,Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,3.9,1500
Pop Tate's,"Sagar Pallazio Mall,Sakinaka, Andheri East", Andheri East,Mumbai,4.3,2000
Tibbs Frankie,"R City Mall,Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,3.3,200
Gurukripa,"Powai, Powai", Powai,Mumbai,4.3,1400
The Finch,"Chandivali, Powai", Powai,Mumbai,4.3,2500
Lake View Cafe,"Renaissance Mumbai Convention Centre Hotel,Powai, Powai", Powai,Mumbai,4.2,3000
Pokket Cafe,"Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,4.2,500
Chimichurri,"Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.5,900
Pizza Caprina,"Premier Emperor Building,Marol, Andheri East", Andheri East,Mumbai,5.0,400
Saptami,"Sakinaka, Andheri East", Andheri East,Mumbai,4.4,2500
Urban Tadka,"Sagar Pallazio Mall,Sakinaka, Andheri East", Andheri East,Mumbai,4.4,1600
Opa Bar,"The Peninsula Grand Hotel,Sakinaka, Andheri East", Andheri East,Mumbai,4.2,3000
The Bigg Small Cafe + Bar,"Sakinaka, Andheri East", Andheri East,Mumbai,4.4,1000
Peninsula - The Spice of India,"The Peninsula Grand Hotel,Sakinaka, Andheri East", Andheri East,Mumbai,3.9,2000
Persian Darbar,"Marol, Andheri East", Andheri East,Mumbai,4.3,1500
Mahesh Lunch Home,"Sakinaka, Andheri East", Andheri East,Mumbai,4.3,1800
The Chocolate Room Bistro and Cafe,"Vallabh Vihar,Ghatkopar East, Central Suburbs", Central Suburbs,Mumbai,4.2,500
Opa Cafe,"Sakinaka, Andheri East", Andheri East,Mumbai,3.4,3000
Thambbi,"Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,1.0,800
5 Spice,"Sakinaka, Andheri East", Andheri East,Mumbai,4.2,1000
The Hill Green,"Eastern Business District,Bhandup West, Central Suburbs", Central Suburbs,Mumbai,4.2,1600
Roots Of India,"Times Square Tech Park,Sakinaka, Andheri East", Andheri East,Mumbai,4.0,2500
Kakori House,"Sakinaka, Andheri East", Andheri East,Mumbai,4.0,1500
Bling by The Hill Green,"Eastern Business District,Bhandup West, Central Suburbs", Central Suburbs,Mumbai,4.0,1600
Mad Over Donuts,"Phoenix Marketcity Mall,Kurla West, Central Suburbs", Central Suburbs,Mumbai,4.5,450
Nosh & Beyond,"Marol, Andheri East", Andheri East,Mumbai,4.8,1000
Tibbs Frankie,"Phoenix Marketcity Mall,Kurla West, Central Suburbs", Central Suburbs,Mumbai,4.4,200
FoodPost,"Marol, Andheri East", Andheri East,Mumbai,4.0,1000
1522 Bar & Kitchen,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.3,1500
Coffee Culture,"Phoenix Marketcity Mall,Kurla West, Central Suburbs", Central Suburbs,Mumbai,4.0,1000
Fiona,"Marol, Andheri East", Andheri East,Mumbai,4.7,1000
JW Cafe,"Sahar Airport Road, Andheri East", Andheri East,Mumbai,4.7,4500
All Stir Fry - Waterstones Hotel,"Marol, Andheri East", Andheri East,Mumbai,4.4,2500
Malhar Tribes,"Marol, Andheri East", Andheri East,Mumbai,4.4,2000
Taco Bell,"Phoenix Marketcity Mall,Kurla West, Central Suburbs", Central Suburbs,Mumbai,4.0,500
Zytun - The Restaurant,"Marol, Andheri East", Andheri East,Mumbai,4.0,1200
Family Tree,"The Destination SRA CHS Ltd,Ghatkopar East, Central Suburbs", Central Suburbs,Mumbai,4.2,1000
White Barn - Waterstones Club,"Marol, Andheri East", Andheri East,Mumbai,5.0,1400
Keys Cafe - Keys Hotel Nestor,"Marol, Andheri East", Andheri East,Mumbai,3.1,1000
Roots Cafe,"Marol, Andheri East", Andheri East,Mumbai,4.0,1200
The Stables,"Marol, Andheri East", Andheri East,Mumbai,4.2,1500
Rodeo Drive,"Marol, Andheri East", Andheri East,Mumbai,4.1,1200
Citrus,"Sahar Airport Road, Andheri East", Andheri East,Mumbai,4.3,4000
Heroes,"The Destination SRA CHS Ltd,Ghatkopar East, Central Suburbs", Central Suburbs,Mumbai,4.1,2000
Food Rush,"Marol, Andheri East", Andheri East,Mumbai,4.3,800
Le Cafe,"Hotel Jewel of Chembur,Chembur, Central Suburbs", Central Suburbs,Mumbai,4.4,1200
Pickle And Pint by Destiny,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.5,2200
Apna Dhaba,"Chakala, Andheri East", Andheri East,Mumbai,4.0,1200
Navya,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.2,1500
China Gate,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.4,1000
Banjara,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.3,2000
Amritsari Kulcha Junction,"Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.4,500
Something's Fishy,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.4,2000
Via Bombay,"Hotel Jewel of Chembur,Chembur, Central Suburbs", Central Suburbs,Mumbai,4.3,1400
Grand Central,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.4,1200
Rome Pizzeria,"Near Andheri East Station, Andheri East", Andheri East,Mumbai,5.0,400
MoMo Cafe,"Courtyard by Marriott Hotel,Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.3,3000
The Food Studio,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,1400
Prasad Food Divine,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.2,800
Gallery Cafe,"M.I.D.C, Andheri East", Andheri East,Mumbai,4.0,2500
Persian Darbar,"Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.3,1500
Wowfillss,"Parel, South Mumbai", South Mumbai,Mumbai,5.0,500
Beans & Creme,"Radisson MIDC,Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.3,700
Crrave N Eat,"JB Nagar, Andheri East", Andheri East,Mumbai,4.3,800
Qebab Quisine,"Radisson MIDC,Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.1,2800
Butterfly High,"Godrej BKC Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.4,1800
Ganga,"M.I.D.C, Andheri East", Andheri East,Mumbai,2.9,500
House of Asia,"Chakala, Andheri East", Andheri East,Mumbai,4.2,2500
Tibbs Frankie,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.7,200
Frozen Bottle,"Runwal Greens,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.5,500
Thambbi,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,5.0,800
Reise - All Day Bar and Kitchen,"Chakala, Andheri East", Andheri East,Mumbai,4.1,1200
Little Asia,"Mahakali, Andheri East", Andheri East,Mumbai,3.9,800
True Tramm Trunk,"Trade Center,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.5,2000
Angrezi Dhaba,"Mahakali, Andheri East", Andheri East,Mumbai,4.1,1500
Bar Tales,"Runwal Greens,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.1,1500
Masala Library by Jiggs Kalra,"FIFC Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.7,5000
China Bistro,"Capsulation Premises,Chembur, Central Suburbs", Central Suburbs,Mumbai,4.4,2000
Chaayos - Meri Wali Chai,"Runwal Greens,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.2,500
Hitchki,"First International Financial Centre,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.5,1500
The Float House,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,5.0,900
Sorriso Indian Kitchen & Bar,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.1,1200
Sorriso Brasserie and Bar,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.1,1400
Mad Over Donuts,"Fair Lawn CHS,Chembur, Central Suburbs", Central Suburbs,Mumbai,4.6,450
Mi Hi Koli,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,3.7,1000
1441 Pizzeria,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.3,1200
The Golden Wok,"Chhadva Apartment,Chembur, Central Suburbs", Central Suburbs,Mumbai,4.2,800
Smoke House Deli,"FIFC Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.4,2000
PizzaExpress,"Bandra East, Bandra", Bandra,Mumbai,4.5,1400
Tossin Pizza,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.1,1000
Prithvi Cafe,"Janki Kutir Society,Juhu, Andheri West", Andheri West,Mumbai,4.2,500
Yauatcha,"Raheja Towers,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.6,3000
The Orange Mint,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.5,1500
Taco Cheena,"Parekh Compound,Santacruz East, Bandra", Bandra,Mumbai,4.4,800
India Bistro,"Chembur, Central Suburbs", Central Suburbs,Mumbai,4.4,1500
The Earth Plate,"Hotel Sahara Star,Vile Parle East, Andheri East", Andheri East,Mumbai,4.3,3500
South of Vindhyas,"The Orchid Hotel,Vile Parle East, Andheri East", Andheri East,Mumbai,4.2,3000
Manuhaar – The Taste of Tradition,"Hotel Sahara Star,Vile Parle East, Andheri East", Andheri East,Mumbai,4.6,3000
Amantran Fine Dine,"Minerva Chambers,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,800
The Indian Toss,"Aureole Hotel,Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.0,1200
The Art House,"Chembur, Central Suburbs", Central Suburbs,Mumbai,3.9,1500
The Pancake Story,"Narayan Niwas,Vile Parle East, Andheri East", Andheri East,Mumbai,5.0,500
King Chilli,"Koteshwar Palace Building,Near Andheri East Station, Andheri East", Andheri East,Mumbai,4.2,800
1 By Two,"Mahakali, Andheri East", Andheri East,Mumbai,1.9,900
Family Tree,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,1400
Tunak Tunak Tunn,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,1100
Capital Social,"Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.3,2000
La Flame,"Avior Building,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.6,1200
Aquafire,"E-Square Building,Vile Parle East, Andheri East", Andheri East,Mumbai,4.0,1500
1441 Pizzeria,"Vile Parle East, Andheri East", Andheri East,Mumbai,4.4,1200
CinCin,"Raheja Towers,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.4,2800
Tibbs Frankie,"Narayan Niwas,Vile Parle East, Andheri East", Andheri East,Mumbai,4.0,200
Mad Over Donuts,"Nerul, Navi Mumbai", Navi Mumbai,Mumbai,4.4,450
SodaBottleOpenerWala,"The Capital Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.3,1600
Local Stop,"Chembur, Central Suburbs", Central Suburbs,Mumbai,3.4,1000
Punjab Grill,"The Capital Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.3,3000
Persia Darbar,"Lily Tower,Jogeshwari West, North Western", North Western,Mumbai,4.4,1000
Mad Over Donuts,"Maitreya Business Park,Vile Parle East, Andheri East", Andheri East,Mumbai,4.1,450
Nara,"Raheja Towers,Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.5,2500
Oliva,"Harileela CHS,Vile Parle East, Andheri East", Andheri East,Mumbai,4.3,700
Celini,"Grand Hyatt Mumbai Hotel & Residences,Santacruz East, Bandra", Bandra,Mumbai,4.3,5000
Hemant Oberoi Restaurant,"Godrej Building,Bandra East, Bandra", Bandra,Mumbai,4.2,2500
Anant Palace,"Ghansoli, Navi Mumbai", Navi Mumbai,Mumbai,5.0,1000
Pop Tate's,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.4,2000
B MAD - The Restaurant,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,1200
Tibbs Frankie,"Bandra West, Bandra", Bandra,Mumbai,4.1,200
Atithi Family Restaurant,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,1800
Mad Over Donuts,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.2,450
The Union Bar & Eating House,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.6,2000
Blisss,"Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.8,300
Shree Laxmi Sagar,"Vishwakarma Baug,Vile Parle West, Andheri West", Andheri West,Mumbai,3.5,500
Sauces and Spices Restaurant & Bar,"Vile Parle West, Andheri West", Andheri West,Mumbai,4.0,800
Jaffer Bhai's Delhi Darbar,"EE Heights,Jogeshwari West, North Western", North Western,Mumbai,4.0,1500
V Kitchen Restobar,"Hotel Varishtta,Kopar Khairane, Navi Mumbai", Navi Mumbai,Mumbai,4.2,600
Fleur,"The Fern Hotel,Goregaon East, North Western", North Western,Mumbai,4.3,1200
The Food Studio,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.2,1400
Pa Pa Ya,"Bandra Kurla Complex, Bandra", Bandra,Mumbai,4.5,2800
The Caravan Menu,"Sun Magnetica Building,Thane West, Thane", Thane,Mumbai,4.3,1600
Zenmai,"Santacruz West, Bandra", Bandra,Mumbai,4.4,2500
The Bake Room,"Vikas Paradise,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.0,900
Urban Tadka,"R-Mall,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.2,1600
Genuine Broaster Chicken,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.3,1000
Aromas Cafe,"Juhu, Andheri West", Andheri West,Mumbai,4.1,1000
Spotlight Skydeck,"Thane West, Thane", Thane,Mumbai,4.3,2200
Garden Court Restaurant,"Sarkar Corner,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.3,1900
Seasonal Tastes,"The Westin Mumbai Garden City Hotel,Goregaon East, North Western", North Western,Mumbai,4.3,4000
House Of Lords,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.0,2300
Coriander Kitchen And Bar,"Willows Tower,Mulund West, Central Suburbs", Central Suburbs,Mumbai,3.0,1100
Blend N Brew,"Hotel Yogi Midtown,Turbhe, Navi Mumbai", Navi Mumbai,Mumbai,3.9,1200
The Food Master,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,5.0,500
Rogan Tadka ​,"Goregaon East, North Western", North Western,Mumbai,4.3,700
The Homemade Cafe & Bar,"Juhu, Andheri West", Andheri West,Mumbai,4.5,1200
Archana Veg Restaurant,"Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.1,700
Blisss,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,5.0,300
PizzaExpress,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.4,1400
Pop Tate's,"R-Mall,Mulund West, Central Suburbs", Central Suburbs,Mumbai,4.3,2000
Mainland China,"Veera Desai, Andheri West", Andheri West,Mumbai,4.5,1800
Coffee By Di Bella,"Juhu, Andheri West", Andheri West,Mumbai,4.4,700
TIB - The Ice-cream Bakery,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.7,300
Global Fusion,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.5,2000
Elementaria Bakery Cafe,"Tian Building,Juhu, Andheri West", Andheri West,Mumbai,3.6,800
Cafe Contigo,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.4,900
Pop Tate's,"Morya Classic,Veera Desai, Andheri West", Andheri West,Mumbai,4.3,2000
Mainland China,"Platinum Techno Park,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.4,1800
Victoria,"Kopar Khairane, Navi Mumbai", Navi Mumbai,Mumbai,3.8,800
Nav Chaitanya,"Versova, Andheri West", Andheri West,Mumbai,4.3,900
Tibbs Frankie,"R-Mall,Mulund West, Central Suburbs", Central Suburbs,Mumbai,3.7,200
Satu Shree Veg Restaurant & Fast Food,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.2,1000
Pop Tate's,"Khar West, Bandra", Bandra,Mumbai,4.6,2000
70 Beans,"Palm Beach Galleria Mall,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.7,1000
Facing East,"Juhu, Andheri West", Andheri West,Mumbai,4.4,1800
Tanatan,"Juhu, Andheri West", Andheri West,Mumbai,4.5,1000
Angrezi Dhaba,"Bandra East, Bandra", Bandra,Mumbai,4.0,1500
Nisarga - South Coast Hotel,"Ghansoli, Navi Mumbai", Navi Mumbai,Mumbai,4.4,900
Something's Fishy,"The Regenza by Tunga,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.5,2000
Qilaa de Vashi,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,3.7,1200
Young Chilli,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,3.9,1000
Peninsula Next Pure Veg,"Sion, Central Suburbs", Central Suburbs,Mumbai,4.3,1200
Surbhi Malvani Kitchen and Bar,"Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.3,1100
Pachinco,"Andheri Lokhandwala, Andheri West", Andheri West,Mumbai,4.7,500
Roti Republiic,"Crescent Royale,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.6,800
The Food Foundry,"Kopar Khairane, Navi Mumbai", Navi Mumbai,Mumbai,4.1,1300
Lord Forklore,"Sul Building,Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.4,1000
Peninsula,"Sion, Central Suburbs", Central Suburbs,Mumbai,4.3,1500
Mulk,"Andheri Lokhandwala, Andheri West", Andheri West,Mumbai,4.6,2000
Glocal Junction,"Andheri Link Road , Andheri West", Andheri West,Mumbai,4.3,2200
New York Burrito Company,"Juhu, Andheri West", Andheri West,Mumbai,4.5,600
Brasserie 1935 Kitchen and Bar,"Sion, Central Suburbs", Central Suburbs,Mumbai,4.4,1000
Banana Leaf,"Santacruz West, Bandra", Bandra,Mumbai,4.5,1000
Mad Over Donuts,"Oberoi Mall,Goregaon East, North Western", North Western,Mumbai,4.5,450
Tibbs Frankie,"Malad East, North Western", North Western,Mumbai,4.3,500
Sorrentina by Foodhall,"Santacruz West, Bandra", Bandra,Mumbai,4.6,2500
Lotus Cafe,"JW Marriott Hotel,Juhu, Andheri West", Andheri West,Mumbai,4.6,3500
PizzAah! District,"Goregaon West, North Western", North Western,Mumbai,3.9,600
Fable,"Ashiyana Apartment,Juhu, Andheri West", Andheri West,Mumbai,4.4,1800
Bhukkad Junction,"Rainbow Tower,Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.2,600
Social,"Rohan Plaza,Khar West, Bandra", Bandra,Mumbai,4.4,2000
Miniya - Turk,"Crescent Royale,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.5,2500
Tsubaki,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.4,1200
One Too Many,"The Regenza by Tunga,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.4,1800
Live It Up,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.0,1000
Urban Street Cafe,"Bhavya Plaza,Khar West, Bandra", Bandra,Mumbai,4.3,600
Chin Chin Chu,"Navratan Apartment,Juhu, Andheri West", Andheri West,Mumbai,4.6,2500
Cafe Istaa,"Sion, Central Suburbs", Central Suburbs,Mumbai,4.5,500
Yazu - Pan Asian Supper Club,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.5,2000
The Orange Mint,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,3.8,1600
Vedge,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.2,1500
Silver Beach Cafe,"Jaldarshan Building,Juhu, Andheri West", Andheri West,Mumbai,4.4,2000
Pop Tate's,"Inorbit Mall,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.6,2000
Roar,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,3.9,1500
Pastovilla,"DN Nagar, Andheri West", Andheri West,Mumbai,3.9,1000
Cheelizza,"Juhu, Andheri West", Andheri West,Mumbai,4.6,600
Independence Brewing Company,"Boolani Estate Owners Premises CHS,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.5,2000
The Mint Leaf Kitchen & Bar,"Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.1,1200
Asian Kitchen,"Four Points By Sheraton Hotel,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.0,3000
Kaala Chashma,"Hotel Dhiraj,Thane West, Thane", Thane,Mumbai,4.3,1800
Sindhful,"Khar West, Bandra", Bandra,Mumbai,4.2,800
Melting Pot,"Juhu Residency Boutique Hotel,Juhu, Andheri West", Andheri West,Mumbai,4.4,1800
Urban Tadka,"7 Bungalows, Andheri West", Andheri West,Mumbai,4.3,1600
Maharaja Bhog,"Juhu, Andheri West", Andheri West,Mumbai,4.3,1200
Family Tree,"Ravi Industries,Thane West, Thane", Thane,Mumbai,4.4,1500
Ten One,"Juhu Residency Boutique Hotel,Juhu, Andheri West", Andheri West,Mumbai,4.3,900
1 BHK - Brew House Kitchen,"Oshiwara, North Western", North Western,Mumbai,4.4,2000
Khao Piyo,"Khar West, Bandra", Bandra,Mumbai,4.3,1200
Bombay Baking Company,"JW Marriott Hotel,Juhu, Andheri West", Andheri West,Mumbai,4.4,1500
Royal Oak Brewery,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.2,1800
The BlueBop Cafe,"Khar West, Bandra", Bandra,Mumbai,4.2,2600
Navratree,"Airoli, Navi Mumbai", Navi Mumbai,Mumbai,3.9,800
Carnivore,"Rainbow Tower,Airoli, Navi Mumbai", Navi Mumbai,Mumbai,3.5,600
Mad Over Donuts,"Inorbit Mall,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,4.3,450
Tibbs Frankie,"Juhu, Andheri West", Andheri West,Mumbai,3.0,200
The Terrace,"Hotel Kings International,Juhu, Andheri West", Andheri West,Mumbai,4.3,1500
Soul,"Hotel Oriental Residency,Khar West, Bandra", Bandra,Mumbai,4.4,1500
The Oasis,"Country Inn and Suites by Radisson,Ghansoli, Navi Mumbai", Navi Mumbai,Mumbai,4.1,2500
Loco Loca,"The Empresa Hotel,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.3,1200
Burn by KLS Fine Dine,"Veera Desai, Andheri West", Andheri West,Mumbai,4.0,1400
Krave - The Multi Cuisine,"Goregaon West, North Western", North Western,Mumbai,4.5,1200
Silver Beach Cafe,"Andheri Lokhandwala, Andheri West", Andheri West,Mumbai,4.4,2000
All Elements,"Khar West, Bandra", Bandra,Mumbai,4.2,1400
Social,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.3,2000
Sammy Sosa,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.6,1600
Global Buffet,"Svenska Design Hotel,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.0,2200
JLWA,"Veera Desai, Andheri West", Andheri West,Mumbai,3.7,2100
Moni's,"Thane West, Thane", Thane,Mumbai,4.4,1500
Pepper Fry by Kamats,"Thane West, Thane", Thane,Mumbai,4.2,1200
Kale & Kaffe,"Laxmi Plaza,Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.2,1200
It's Mirchi,"Ramee Guestline Hotel,Juhu, Andheri West", Andheri West,Mumbai,4.0,1900
Quarter Flip,"Kenilworth Shopping Arcade,Bandra West, Bandra", Bandra,Mumbai,3.6,1200
Persian Darbar,"Moray Mahal,Bandra West, Bandra", Bandra,Mumbai,4.4,2500
Once Upon A Dine,"Khar West, Bandra", Bandra,Mumbai,4.3,1000
Ministry of Crab,"Khar West, Bandra", Bandra,Mumbai,4.0,3000
Drunken Barrel SPORTS BAR,"Vashi, Navi Mumbai", Navi Mumbai,Mumbai,3.7,1000
Poco Loco,"Khar West, Bandra", Bandra,Mumbai,4.2,1900
Golden Monk,"Andheri Lokhandwala, Andheri West", Andheri West,Mumbai,4.0,1500
Shakey Wakey,"Oshiwara, North Western", North Western,Mumbai,4.7,300
Arbab,"Bandra West, Bandra", Bandra,Mumbai,4.0,900
The Daily All Day,"Suburbia Mall,Bandra West, Bandra", Bandra,Mumbai,4.5,2000
Suruchi Bhog,"Airoli, Navi Mumbai", Navi Mumbai,Mumbai,4.2,800
Hangla's,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,5.0,500
Heng Bok,"Suburbia Mall,Bandra West, Bandra", Bandra,Mumbai,4.5,2500
Coffee By Di Bella Exclusive,"Naupada, Thane", Thane,Mumbai,4.2,700
Atrangii House Sky Lounge,"Sanpada, Navi Mumbai", Navi Mumbai,Mumbai,4.6,2000
Coffee By Di Bella,"Kiran Kunj,Bandra West, Bandra", Bandra,Mumbai,4.3,700
Kofuku,"Suburbia Mall,Bandra West, Bandra", Bandra,Mumbai,4.4,2500
Pop Tate's,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.3,2000
Mad Over Donuts,"Kamal Building,Bandra West, Bandra", Bandra,Mumbai,4.5,450
Frozen Bottle,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.6,500
Pishu's,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.0,600
Mitron,"Crystal Shoppers Paradise,Bandra West, Bandra", Bandra,Mumbai,3.9,2000
Aromas Cafe,"Bandra West, Bandra", Bandra,Mumbai,4.5,1400
Jade Raven Multicuisine Restaurant and Bar,"Ravi Industries,Thane West, Thane", Thane,Mumbai,4.3,1500
Bombay Coffee House,"Neelkamal Building,Bandra West, Bandra", Bandra,Mumbai,4.3,900
Aromas Cafe,"Oshiwara, North Western", North Western,Mumbai,4.1,1000
Roll Me Crazy,"Bandra West, Bandra", Bandra,Mumbai,4.7,800
99 Pancakes,"Silver Croft Building,Bandra West, Bandra", Bandra,Mumbai,5.0,500
Hakkasan,"Krystal Building,Bandra West, Bandra", Bandra,Mumbai,4.5,2500
Punjabi Rasoi,"Hari Niwas,Bandra West, Bandra", Bandra,Mumbai,4.0,600
Chaayos - Meri Wali Chai,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,4.5,500
Silver Spoon,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,3.0,600
Sazio Fine Dine,"Moraj Palm Paradise,Sanpada, Navi Mumbai", Navi Mumbai,Mumbai,4.6,1500
Lucky Restaurant,"Goregaon East, North Western", North Western,Mumbai,3.9,500
