Name,Location,Locality,City,Rating,Cost
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,4.0,1000
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,500
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,5.0,1200
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.8,500
The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,2500
Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,4.5,4000
Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.3,800
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,400
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,3.7,2800
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,4.6,4000
Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,4.1,2700
Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi", Central Delhi,Delhi,4.4,4000
The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,3.7,2200
Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,2.9,1200
Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,5.0,500
Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,3.0,400
Mamagoto,"Khan Market, Central Delhi", Central Delhi,Delhi,4.5,1500
Cinnabon,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi", Central Delhi,Delhi,3.8,500
Fat Lulu's,"Khan Market, Central Delhi", Central Delhi,Delhi,4.5,1500
Pikkle,"Rajinder Nagar, West Delhi", West Delhi,Delhi,4.2,1800
Pindi,"Pandara Road, Central Delhi", Central Delhi,Delhi,4.4,2500
Cafe Delhi Heights,"Khan Market, Central Delhi", Central Delhi,Delhi,4.4,2000
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.9,1200
Veg Gulati,"Pandara Road, Central Delhi", Central Delhi,Delhi,4.4,1200
Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,4.1,1400
The DineRoom,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.2,1000
