City,Name,Type,Google review rating,Place_ID,Photo_Reference
Delhi,Qutub Minar,Monument,4.5,ChIJT5uBZwYeDTkRuJ11YPGVSYM,AdDdOWqnvwWMNMXgzHoezMOqVMfoo6Sk8J6D878s5jVGXgj-shRvox_rfSsKa7zNYbXNUty5TjoWl9BbsPeKtlJKYULdXrNqF1q_3p0MCOzqzXifaprmTNmbeweQNtBZALs54WwyLCpNPSdkKlama73BnNnJ-e3mEJH-0sHjL6O13blTj0Ov
Delhi,National Science Centre,Science,4.4,ChIJGwO7EibjDDkR4At2961aPPE,AdDdOWo0nHkhV_CWOo4ud9TFNu-0lpdnKgXAaEylBx8hCAhyKTDrOq0KTSGoyEIcAIxxGofYqZci3hvoa-IEvcUiejcg9PQt0lEgl7Vm57w74VsSVIXSVZbmh6BJhwkf4mqGunDpA_PnA7I0Bkm29BKWDrlEsci5_jOJm5VPo18crLX8XW9G
Mumbai,Marine Drive,Promenade,4.5,ChIJnUPoXuLR5zsRK60mJ0-SzVo,AdDdOWqEts_qL3pSBHeP7vByABgqGoEK9u_Q6K_4WF2GGiVNE_muE5PdbXHCUpI89PzpHODXlSqAK_B-Va0mjHCqwA-WD8F0kMWiPjQm1LYTjBa_69dMtGVplkK6gnS4LIiANBq0tSoJGVCaIbAppqUVrExvuRFFHsu3sff9HS-xZpPXVv3X
Mumbai,Gateway of India,Monument,4.6,ChIJrVwNOsfR5zsRPHOcIKclCsc,AdDdOWrOqwAuj8C7ias4w9H5Kr7N6N09d-9aDKLbfBTCoaNleApeSPeM2FdsoJ-QfoRtInvrlRnCclocj8YuWRy9633WQGnkh5n5Bh5I_4yBHy89U6BUW3q7p-Qt87xL8-qM-OGD1tDqBfYGAMhj5GrDQ1HgxEx527wczRzW9EQzBlecr9jb
Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6,ChIJJ7H46sPR5zsRU5I-VRAm50Q,AdDdOWoXLb86B1wWrRJCl7TZ9kj779ExL43XeJPe4pyhdi5Tp3CqrRHeDRM403RfVqENCk_VAlv0Ux2zCV8FhLN-esibPiBweMVqlSX2DCHU4YOXg7BWYRddLEUy_FUY9uTxqmnMBf7vj5cqMwdtiOuCsWfn6ZVrKuH62MA69A5N_bk7gsdP
Mumbai,Sanjay Gandhi National Park,National Park,4.3,ChIJnz0di8iw5zsRz-Ko2mndITY,AdDdOWq4Le11qmSINrJNiS5sqlyXdmpqPI11cObx7v8Nx0Ai8OAEiHbjuERCihl57DnBNBHKrSe_QhExgroIZ_YcHhQdGk-uSQuQdRFWJPmzoqIFw-azTry8_KDaB4SV8U_f0BiC8W1OxTMG2usiO5bu_8rG70APWVC1m10hJC5zM4fSRE0O
Mumbai,Siddhivinayak Temple,Temple,4.8,ChIJw-tR2MDO5zsRKWNSFGmHYcw,AdDdOWqzdQY1K2SF3oAy2u7Oxh8i9FubKpOZdzsKkSIJbHVB9XCQOvzKBjryRuD7utt3cxkRUhmFL0a8q7ynPtkwDg5I-Z-KKM2HOtOxhJ8yDh99VYgLEFxqYpsFY5_TDajiaV7ans4tZI3XK3f2HqfbMMcfES4r81rh-nhvOAboppFs03E
Mumbai,Mahalaxmi Temple,Temple,4.7,ChIJ0T445WzO5zsRYt1jJFF6DOI,AdDdOWrhfKTTL0N7YPmP21F0qnAVA30RxU2XQhGbhsI0H40dLnaS7BisShzLwIu0lUp5sK0nbDcrUhDfKKNGRDu6cSW-2B6pjO2KbwflGtfF27pgRLM3lG4fX8_08o3luXozxUjFAIeCijk1ZQedCHXEZQ5QMVlmkkTyXFIY1OVDBWRd0glu
Mumbai,Haji Ali Dargah,Religious Shrine,4.4,ChIJ40INk37O5zsRBY0Hq8dd4NU,AdDdOWo0HGDHVawXZbqcaplHCDo81hghej-554_KA7WM5sKLEM1wAQ-q8Q7pPILEkadMKxU2G0bWqdgjbMv1V9ZaNXCwJPuPNGoq84Uz1AMWROXf0zA8L3_Nfc2QNGVFnFKUN4XaSrgh6J4oI-yfPbKnHUck-vjiZNlNWbgYfnWgCbwoogNH
Mumbai,Chowpatty Beach,Beach,4.3,ChIJSW6EGQ_O5zsRv8mYUqj-ntw,AdDdOWrjlAb9xUqT5i-s22X1YpsWSuLbJCAaGC31NkqyV4fDFUZ47KkXJQstPtQkkd7qb0QgCIprsURfI5VK3xhmHL2R4IT7lJOPgmUC27P3qeW__pi8wpckMwTDskxYRndC3P4i5GWQE2K28geWm0piqMoZC3WLeV2Mmo_xrtTITkCNn54m
